#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1587	species	Obelia dichotoma	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Obeliidae	Obelia	Obelia dichotoma	best hit
ASV1589	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1590	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV1601	species	Halichondria panicea	Eukaryota	Porifera	Demospongiae	Suberitida	Halichondriidae	Halichondria	Halichondria panicea	best hit
ASV1603	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1607	species	Haliclystus sanjuanensis	Eukaryota	Cnidaria	Staurozoa	Stauromedusae	Haliclystidae	Haliclystus	Haliclystus sanjuanensis	best hit
ASV161	species	Ditrichocorycaeus anglicus	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Ditrichocorycaeus	Ditrichocorycaeus anglicus	best hit
ASV1613	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV1616	species	Dodecaceria sp. CMC01	Eukaryota	Annelida	Polychaeta	Spionida	Cirratulidae	Dodecaceria	Dodecaceria sp. CMC01	best hit
ASV1620	species	Cryptosiphonia woodii	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Dumontiaceae	Cryptosiphonia	Cryptosiphonia woodii	best hit
ASV1621	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV163	species	Panopea generosa	Eukaryota	Mollusca	Bivalvia	Myoida	Hiatellidae	Panopea	Panopea generosa	best hit
ASV1636	species	Neorhodomela aculeata	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Neorhodomela	Neorhodomela aculeata	best hit
ASV1651	species	Micropodarke dubia	Eukaryota	Annelida	Polychaeta	Phyllodocida	Hesionidae	Micropodarke	Micropodarke dubia	best hit
ASV1657	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1664	species	Balanus sp. HLC-24243	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus sp. HLC-24243	best hit
ASV1682	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1686	species	Glycinde picta	Eukaryota	Annelida	Polychaeta	Phyllodocida	Goniadidae	Glycinde	Glycinde picta	best hit
